"location_id","country","capitallongitude","capitallatitude","year"
22,"Libya","13.166667","32.88333333333333",126
25,"Algeria","3.050000","36.75",126
24,"Egypt","31.250000","30.05",126
204,"Italy","12.483333","41.9",127
202,"Greece","23.733333","37.983333333333334",127
151,"Turkey","32.866667","39.93333333333333",127
168,"Syria","36.300000","33.5",127
210,"Spain","-3.683333","40.4",127
209,"Portugal","-9.133333","38.71666666666667",127
26,"Morocco","-6.816667","34.016666666666666",127
23,"Tunisia","10.183333","36.8",127
22,"Libya","13.166667","32.88333333333333",127
25,"Algeria","3.050000","36.75",127
24,"Egypt","31.250000","30.05",127
204,"Italy","12.483333","41.9",128
202,"Greece","23.733333","37.983333333333334",128
151,"Turkey","32.866667","39.93333333333333",128
168,"Syria","36.300000","33.5",128
210,"Spain","-3.683333","40.4",128
209,"Portugal","-9.133333","38.71666666666667",128
26,"Morocco","-6.816667","34.016666666666666",128
23,"Tunisia","10.183333","36.8",128
22,"Libya","13.166667","32.88333333333333",128
25,"Algeria","3.050000","36.75",128
24,"Egypt","31.250000","30.05",128
204,"Italy","12.483333","41.9",129
202,"Greece","23.733333","37.983333333333334",129
151,"Turkey","32.866667","39.93333333333333",129
168,"Syria","36.300000","33.5",129
210,"Spain","-3.683333","40.4",129
209,"Portugal","-9.133333","38.71666666666667",129
26,"Morocco","-6.816667","34.016666666666666",129
23,"Tunisia","10.183333","36.8",129
22,"Libya","13.166667","32.88333333333333",129
25,"Algeria","3.050000","36.75",129
24,"Egypt","31.250000","30.05",129
204,"Italy","12.483333","41.9",130
202,"Greece","23.733333","37.983333333333334",130
151,"Turkey","32.866667","39.93333333333333",130
168,"Syria","36.300000","33.5",130
210,"Spain","-3.683333","40.4",130
209,"Portugal","-9.133333","38.71666666666667",130
26,"Morocco","-6.816667","34.016666666666666",130
23,"Tunisia","10.183333","36.8",130
22,"Libya","13.166667","32.88333333333333",130
25,"Algeria","3.050000","36.75",130
24,"Egypt","31.250000","30.05",130
204,"Italy","12.483333","41.9",131
202,"Greece","23.733333","37.983333333333334",131
151,"Turkey","32.866667","39.93333333333333",131
168,"Syria","36.300000","33.5",131
210,"Spain","-3.683333","40.4",131
209,"Portugal","-9.133333","38.71666666666667",131
26,"Morocco","-6.816667","34.016666666666666",131
23,"Tunisia","10.183333","36.8",131
22,"Libya","13.166667","32.88333333333333",131
25,"Algeria","3.050000","36.75",131
24,"Egypt","31.250000","30.05",131
204,"Italy","12.483333","41.9",132
202,"Greece","23.733333","37.983333333333334",132
151,"Turkey","32.866667","39.93333333333333",132
168,"Syria","36.300000","33.5",132
210,"Spain","-3.683333","40.4",132
209,"Portugal","-9.133333","38.71666666666667",132
26,"Morocco","-6.816667","34.016666666666666",132
23,"Tunisia","10.183333","36.8",132
22,"Libya","13.166667","32.88333333333333",132
25,"Algeria","3.050000","36.75",132
24,"Egypt","31.250000","30.05",132
204,"Italy","12.483333","41.9",133
202,"Greece","23.733333","37.983333333333334",133
151,"Turkey","32.866667","39.93333333333333",133
168,"Syria","36.300000","33.5",133
210,"Spain","-3.683333","40.4",133
209,"Portugal","-9.133333","38.71666666666667",133
26,"Morocco","-6.816667","34.016666666666666",133
23,"Tunisia","10.183333","36.8",133
22,"Libya","13.166667","32.88333333333333",133
25,"Algeria","3.050000","36.75",133
24,"Egypt","31.250000","30.05",133
204,"Italy","12.483333","41.9",134
202,"Greece","23.733333","37.983333333333334",134
151,"Turkey","32.866667","39.93333333333333",134
168,"Syria","36.300000","33.5",134
210,"Spain","-3.683333","40.4",134
209,"Portugal","-9.133333","38.71666666666667",134
26,"Morocco","-6.816667","34.016666666666666",134
23,"Tunisia","10.183333","36.8",134
22,"Libya","13.166667","32.88333333333333",134
25,"Algeria","3.050000","36.75",134
24,"Egypt","31.250000","30.05",134
204,"Italy","12.483333","41.9",135
202,"Greece","23.733333","37.983333333333334",135
151,"Turkey","32.866667","39.93333333333333",135
168,"Syria","36.300000","33.5",135
210,"Spain","-3.683333","40.4",135
209,"Portugal","-9.133333","38.71666666666667",135
26,"Morocco","-6.816667","34.016666666666666",135
23,"Tunisia","10.183333","36.8",135
22,"Libya","13.166667","32.88333333333333",135
25,"Algeria","3.050000","36.75",135
24,"Egypt","31.250000","30.05",135
204,"Italy","12.483333","41.9",136
202,"Greece","23.733333","37.983333333333334",136
151,"Turkey","32.866667","39.93333333333333",136
168,"Syria","36.300000","33.5",136
210,"Spain","-3.683333","40.4",136
209,"Portugal","-9.133333","38.71666666666667",136
26,"Morocco","-6.816667","34.016666666666666",136
23,"Tunisia","10.183333","36.8",136
22,"Libya","13.166667","32.88333333333333",136
25,"Algeria","3.050000","36.75",136
24,"Egypt","31.250000","30.05",136
204,"Italy","12.483333","41.9",137
202,"Greece","23.733333","37.983333333333334",137
151,"Turkey","32.866667","39.93333333333333",137
168,"Syria","36.300000","33.5",137
210,"Spain","-3.683333","40.4",137
209,"Portugal","-9.133333","38.71666666666667",137
26,"Morocco","-6.816667","34.016666666666666",137
23,"Tunisia","10.183333","36.8",137
22,"Libya","13.166667","32.88333333333333",137
25,"Algeria","3.050000","36.75",137
24,"Egypt","31.250000","30.05",137
204,"Italy","12.483333","41.9",138
202,"Greece","23.733333","37.983333333333334",138
151,"Turkey","32.866667","39.93333333333333",138
168,"Syria","36.300000","33.5",138
210,"Spain","-3.683333","40.4",138
209,"Portugal","-9.133333","38.71666666666667",138
26,"Morocco","-6.816667","34.016666666666666",138
23,"Tunisia","10.183333","36.8",138
22,"Libya","13.166667","32.88333333333333",138
25,"Algeria","3.050000","36.75",138
24,"Egypt","31.250000","30.05",138
204,"Italy","12.483333","41.9",249
202,"Greece","23.733333","37.983333333333334",249
151,"Turkey","32.866667","39.93333333333333",249
168,"Syria","36.300000","33.5",249
210,"Spain","-3.683333","40.4",249
209,"Portugal","-9.133333","38.71666666666667",249
26,"Morocco","-6.816667","34.016666666666666",249
23,"Tunisia","10.183333","36.8",249
22,"Libya","13.166667","32.88333333333333",249
25,"Algeria","3.050000","36.75",249
24,"Egypt","31.250000","30.05",249
179,"Serbia","20.500000","44.833333333333336",249
204,"Italy","12.483333","41.9",250
